Tratamiento SAP,Tratamiento redcap labels,Codificacion tratamientos
ABACAVIR/LAMIVUDINA/ZIDOVUDINA,Abacavir/Lamivudina/Zidovudina,0
ABACAVIR/LAMIVUDINA,Abacavir/Lamivudina,1
ABACAVIR,Abacavir,2
ACICLOVIR,Aciclovir,3
ANFOTERICINA B,Amfotericina B,4
AMIKACINA,Amikacina,5
AMOXICILINA/CLAVULANICO ACIDO,Amoxicilina/Ácido Clavulánico,6
AMOXICILINA,Amoxicilina,7
AMPICILINA,Ampicilina,8
ANIDULAFUNGINA,Anidulafungina,9
ATAZANAVIR/COBICISTAT,Atazanavir/Cobicistat,10
ATAZANAVIR,Atazanavir,11
AZITROMICINA,Azitromicina,12
AZTREONAM,Aztreonam,13
BEDAQUILINA,Bedaquilina,14
BENCILPENICILINA,Bencilpenicilina,15
BENZETACIL,Benzetacil,16
BICTEGRAVIR/EMTRICITABINA/TENOFOVIR ALAFENAMIDA FUMARATO,Bictegravir/Emtricitabina/Tenofovir Alafenamida Fumarato,17
BICTEGRAVIR/TENOF ALAF/EMTRI,Bictegravir/Emtricitabina/Tenofovir Alafenamida Fumarato,17
BRIVUDINA,Brivudina,18
BULEVIRTIDA,Bulevirtida,19
CABOTEGRAVIR,Cabotegravir,20
CASPOFUNGINA,Caspofungina,21
CEFADROXILO,Cefadroxilo,22
CEFALEXINA,Cefalexina,23
CEFAZOLINA,Cefazolina,24
CEFDITORENO,Cefditoreno,25
CEFEPIMA,Cefepima,26
CEFIDEROCOL,Cefiderocol,27
CEFIXIMA,Cefixima,28
CEFOTAXIMA,Cefotaxima,29
CEFOXITINA,Cefoxitina,30
CEFTAROLINA,Ceftarolina,31
CEFTAZIDIMA/AVIBACTAM,Ceftazidima/Avibactam,32
CEFTAZIDIMA,Ceftazidima,33
CEFTOBIPROL,Ceftobiprol,34
CEFTOLOZANO/TAZOBACTAM,Ceftolozano/Tazobactam,35
CEFTRIAXONA,Ceftriaxona,36
CEFUROXIMA,Cefuroxima,37
CIDOFOVIR,Cidofovir,38
CIPROFLOXACINO,Ciprofloxacino,39
CLARITROMICINA,Claritromicina,40
CLINDAMICINA,Clindamicina,41
CLOXACILINA SODICA,Cloxacilina Sodica,42
COBICISTAT/EMTRICITABINA/TENOFOVIR/ELVITEGRAVIR,Cobicistat/Emtricitabina/Tenofovir/Elvitegravir,43
COLISTIMETATO,Colistimetato de Sodio,44
DALBAVANCINA,Dalbavancina,45
DAPTOMICINA,Daptomicina,46
DARUNAVIR/COBICISTAT/EMTRICITABINA/TENOFOVIR,Darunavir/Cobicistat/Emtricitabina/Tenofovir,47
DARUNAVIR/COBICISTAT,Darunavir/Cobicistat,48
DARUNAVIR,Darunavir,49
DELAFLOXACINO,Delafloxacino,50
DELAMANID,Delamanid,51
DOLUTEGRAVIR/ABACAVIR/LAMIVUDINA,Dolutegravir/Abacavir/Lamivudina,52
DOLUTEGRAVIR/LAMIVUDINA,Dolutegravir/Lamivudina,53
DOLUTEGRAVIR/RILPIVIRINA,Dolutegravir/Rilpivirina,54
DOLUTEGRAVIR,Dolutegravir,55
DORAVIRINA,Doravirina,56
DOXICICLINA,Doxiciclina,57
EFAVIRENZ/EMTRICITABINA/TENOFOVIR,Efavirenz/Emtricitabina/Tenofovir,58
EFAVIRENZ,Efavirenz,59
ELBASVIR/GRAZOPREVIR,Elbasvir/Grazoprevir,60
EMTRICITABINA/RILPIVIRINA/TENOFOVIR,Emtricitabina/Rilpivirina/Tenofovir,61
EMTRICITABINA/TENOFOVIR,Emtricitabina/Tenofovir,62
EMTRICITABINA,Emtricitabina,63
ENFUVIRTIDA,Enfuvirtida,64
ENTECAVIR,Entecavir,65
ERITROMICINA,Eritromicina,66
ERTAPENEM SODIO,Ertapenem Sodio,67
ERTAPENEM,Ertapenem,68
ESPIRAMICINA/METRONIDAZOL,Espiramicina/Metronidazol,69
ESPIRAMICINA,Espiramicina,70
ETAMBUTOL/ISONIAZIDA/PIRAZINAMIDA/RIFAMPICINA,Etambutol/Isoniazida/Pirazinamida/Rifampicina,71
ETAMBUTOL,Etambutol,72
ETRAVIRINA,Etravirina,73
FAMCICLOVIR,Famciclovir,74
FENOXIMETILPENICILINA/BENCILPENICILINA-BENZATINA/BENCILPENICILINA,Fenoximetilpenicilina/Bencilpenicilina-Benzatina/Bencilpenicilina,75
FENOXIMETILPENICILINA,Fenoximetilpenicilina,76
FLUCONAZOL,Fluconazol,77
FOSAMPRENAVIR,Fosamprenavir,78
FOSCARNET,Foscarnet,79
FOSFOMICINA,Fosfomicina,80
FOSTEMSAVIR,Fostemsavir,81
FUSIDATO SODIO,Fusidato Sodio,82
GANCICLOVIR,Ganciclovir,83
GENTAMICINA SULFATO,Gentamicina Sulfato,84
GENTAMICINA,Gentamicina,85
GLECAPREVIR/PIBRENTASVIR,Glecaprevir/Pibrentasvir,86
IMIPENEM/CILASTATINA,Imipenem/Cilastatina,87
ISAVUCONAZOL,Isavuconazol,88
ISONIAZIDA/PIRAZINAMIDA/RIFAMPICINA,Isoniazida/Pirazinamida/Rifampicina,89
ISONIAZIDA/PIRIDOXINA,Isoniazida/Piridoxina,90
ISONIAZIDA/RIFAMPICINA,Isoniazida/Rifampicina,91
ISONIAZIDA,Isoniazida,92
ITRACONAZOL,Itraconazol,93
LAMIVUDINA/ZIDOVUDINA,Lamivudina/Zidovudina,94
LAMIVUDINA,Lamivudina,95
LEDIPASVIR/SOFOSBUVIR,Ledipasvir/Sofosbuvir,96
LETERMOVIR,Letermovir,97
LEVOFLOXACINO,Levofloxacino,98
LINCOMICINA,Lincomicina,99
LINEZOLID,Linezolid,100
LISOZIMA,Lisozima,101
LOPINAVIR/RITONAVIR,Lopinavir/Ritonavir,102
MARAVIROC,Maraviroc,103
MARIBAVIR,Maribavir,104
MEROPENEM/VABORBACTAM,Meropenem/Vaborbactam,105
MEROPENEM,Meropenem,106
METRONIDAZOL,Metronidazol,107
MICAFUNGINA,Micafungina,108
MINOCICLINA,Minociclina,109
MOXIFLOXACINO,Moxifloxacino,110
MUPIROCINA,Mupirocina,111
NEVIRAPINA/ANHIDRA,Nevirapina/Anhidra,112
NEVIRAPINA,Nevirapina,113
NISTATINA,Nistatina,114
NITROFURANTOINA,Nitrofurantoina,115
NORFLOXACINO,Norfloxacino,116
OFLOXACINO,Ofloxacino,117
ORITAVANCINA,Oritavancina,118
OSELTAMIVIR,Oseltamivir,119
PIPERACILINA/TAZOBACTAM,Piperacilina/Tazobactam,120
PIRAZINAMIDA,Pirazinamida,121
POSACONAZOL,Posaconazol,122
RALTEGRAVIR,Raltegravir,123
REMDESIVIR,Remdesivir,124
RIBAVIRINA,Ribavirina,125
RIFABUTINA,Rifabutina,126
RIFAMPICINA,Rifampicina,127
RILPIVIRINA,Rilpivirina,128
RITONAVIR/LOPINAVIR,Ritonavir/Lopinavir,129
RITONAVIR,Ritonavir,130
ROXITROMICINA,Roxitromicina,131
SOFOSBUVIR/VELPATASVIR/VOXILAPREVIR,Sofosbuvir/Velpatasvir/Voxilaprevir,132
SOFOSBUVIR/VELPATASVIR,Sofosbuvir/Velpatasvir,133
SOFOSBUVIR,Sofosbuvir,134
SULFADIAZINA,Sulfadiazina,135
TEDIZOLID,Tedizolid,136
TEICOPLANINA,Teicoplanina,137
TENOFOVIR,Tenofovir,138
TIGECICLINA,Tigeciclina,139
TOBRAMICINA,Tobramicina,140
TRIMETOPRIMA,Trimetoprima,141
SEPTRIN,Trimetoprima/Sulfametoxazol,142
COTRIMOXAZOL,Trimetoprima/Sulfametoxazol,142
VALACICLOVIR,Valaciclovir,143
VALGANCICLOVIR,Valganciclovir,144
VANCOMICINA,Vancomicina,145
VORICONAZOL,Voriconazol,146
ZANAMIVIR,Zanamivir,147
ZIDOVUDINA,Zidovudina,148
FIDAXOMICINA,Fidaxomicina,149
